,year_ceremony,category,name,film,bafta
3892,2018,Writing (Original Screenplay),Jordan Peele,Get Out,Nominee
3893,2018,Writing (Original Screenplay),Steven Rogers,"I, Tonya",Nominee
3894,2018,Writing (Original Screenplay),Greta Gerwig,Lady Bird,Nominee
3895,2018,Writing (Original Screenplay),"Guillermo del Toro, Vanessa Taylor",The Shape of Water,Nominee
3933,2019,Writing (Adapted Screenplay),"Spike Lee, David Rabinowitz, Charlie Wachtel, Kevin Willmott",BlacKkKlansman,Winner
3934,2019,Writing (Adapted Screenplay),"Nicole Holofcener, Jeff Whitty",Can You Ever Forgive Me?,Nominee
3935,2019,Writing (Adapted Screenplay),Josh Singer,First Man,Nominee
3936,2019,Writing (Adapted Screenplay),Barry Jenkins,If Beale Street Could Talk,Nominee
3937,2019,Writing (Adapted Screenplay),"Bradley Cooper, Will Fetters, Eric Roth",A Star Is Born,Nominee
3941,2019,Best Picture,"Alfonso Cuaron, Gabriela Rodriguez",Roma,Winner
3942,2019,Best Picture,"Jason Blum, Spike Lee, Raymond Mansfield, Sean McKittrick, Jordan Peele",BlacKkKlansman,Nominee
3943,2019,Best Picture,"Ceci Dempsey, Ed Guiney, Yorgos Lanthimos, Lee Magiday",The Favourite,Nominee
3944,2019,Best Picture,"Jim Burke, Brian Currie, Peter Farrelly, Nick Vallelonga, Charles B. Wessler",Green Book,Nominee
3945,2019,Best Picture,"Bradley Cooper, Bill Gerber, Lynette Howell Taylor",A Star Is Born,Nominee
3964,2019,Directing,Roma,Alfonso Cuaron,Winner
3965,2019,Directing,BlacKkKlansman,Spike Lee,Nominee
3966,2019,Directing,Cold War,Pawel Pawlikowski,Nominee
3967,2019,Directing,The Favourite,Yorgos Lanthimos,Nominee
3968,2019,Directing,A Star Is Born,Bradley Cooper,Nominee
3995,2019,Actress in a Leading Role,Olivia Colman,The Favourite,Winner
3996,2019,Actress in a Leading Role,Glenn Close,The Wife,Nominee
3997,2019,Actress in a Leading Role,Lady Gaga,A Star Is Born,Nominee
3998,2019,Actress in a Leading Role,Melissa McCarthy,Can You Ever Forgive Me?,Nominee
3999,2019,Actress in a Leading Role,Viola Davis,Widows,Nominee
4010,2019,Writing (Original Screenplay),"Deborah Davis, Tony McNamara",The Favourite,Winner
4011,2019,Writing (Original Screenplay),"Janusz Glowacki, Pawel Pawlikowski",Cold War,Nominee
4012,2019,Writing (Original Screenplay),"Brian Currie, Peter Farrelly, Nick Vallelonga",Green Book,Nominee
4013,2019,Writing (Original Screenplay),Alfonso Cuaron,Roma,Nominee
4014,2019,Writing (Original Screenplay),Adam McKay,Vice,Nominee
4052,2020,Writing (Adapted Screenplay),Taika Waititi,Jojo Rabbit,Winner
4053,2020,Writing (Adapted Screenplay),Steven Zaillian,The Irishman,Nominee
4054,2020,Writing (Adapted Screenplay),"Todd Phillips, Scott Silver",Joker,Nominee
4055,2020,Writing (Adapted Screenplay),Greta Gerwig,Little Women,Nominee
4056,2020,Writing (Adapted Screenplay),Anthony McCarten,The Two Popes,Nominee
4061,2020,Best Picture,"Pippa Harris, Callum McDougall, Sam Mendes, Jayne-Ann Tenggren",1917,Winner
4062,2020,Best Picture,"Robert De Niro, Jane Rosenthal, Martin Scorsese, Emma Tillinger Koskoff",The Irishman,Nominee
4063,2020,Best Picture,"Bradley Cooper, Todd Phillips, Emma Tillinger Koskoff",Joker,Nominee
4064,2020,Best Picture,"David Heyman, Shannon McIntosh, Quentin Tarantino",Once Upon a Time.. in Hollywood,Nominee
4065,2020,Best Picture,"Bong Joon Ho, Kwak Sin Ae",Parasite,Nominee
4089,2020,Directing,1917,Sam Mendes,Winner
4090,2020,Directing,The Irishman,Martin Scorsese,Nominee
4091,2020,Directing,Joker,Todd Phillips,Nominee
4092,2020,Directing,Once Upon a Time.. in Hollywood,Quentin Tarantino,Nominee
4093,2020,Directing,Parasite,Bong Joon Ho,Nominee
4120,2020,Actress in a Leading Role,Renée Zellweger,Judy,Winner
4121,2020,Actress in a Leading Role,Jessie Buckley,Wild Rose,Nominee
4122,2020,Actress in a Leading Role,Scarlett Johansson,Marriage Story,Nominee
4123,2020,Actress in a Leading Role,Saoirse Ronan,Little Women,Nominee
4124,2020,Actress in a Leading Role,Charlize Theron,Bombshell,Nominee
4135,2020,Writing (Original Screenplay),"Han Jin Won, Bong Joon Ho",Parasite,Winner
4136,2020,Writing (Original Screenplay),"Susanna Fogel, Emily Halpern, Sarah Haskins, Katie Silberman",Booksmart,Nominee
4137,2020,Writing (Original Screenplay),Rian Johnson,Knives Out,Nominee
4138,2020,Writing (Original Screenplay),Noah Baumbach,Marriage Story,Nominee
4139,2020,Writing (Original Screenplay),Quentin Tarantino,Once Upon a Time.. in Hollywood,Nominee
