,year_ceremony,category,name,film,golden_globe
4124,1990,Directing,Spike Lee,Do The Right Thing,Nominee
4125,1990,Directing,Rob Reiner,When Harry Met Sally,Nominee
4126,1990,Directing,Peter Weir,Dead Poets Society,Nominee
4127,1990,Directing,Edward Zwick,Glory,Nominee
4128,1990,Writing (Original Screenplay),"Oliver Stone, Ron Kovic",Born On The Fourth Of July,Winner
4129,1990,Writing (Original Screenplay),Tom Schulman,Dead Poets Society,Nominee
4130,1990,Writing (Original Screenplay),Spike Lee,Do The Right Thing,Nominee
4131,1990,Writing (Original Screenplay),Kevin Jarre,Glory,Nominee
4132,1990,Writing (Original Screenplay),Steven Soderbergh,"Sex, Lies, And Videotape",Nominee
4133,1990,Writing (Original Screenplay),Nora Ephron,When Harry Met Sally,Nominee
4217,1991,Actress In A Leading Role - Drama,Kathy Bates,Misery,Winner
4218,1991,Actress In A Leading Role - Drama,Michelle Pfeiffer,"Russia House, The",Nominee
4219,1991,Actress In A Leading Role - Drama,Susan Sarandon,White Palace,Nominee
4220,1991,Actress In A Leading Role - Drama,Joanne Woodward,Mr. & Mrs. Bridge,Nominee
4221,1991,Actress In A Leading Role - Drama,Anjelica Huston,"Grifters, The",Nominee
4222,1991,Actor In A Leading Role - Drama,Jeremy Irons,Reversal Of Fortune,Winner
4223,1991,Actor In A Leading Role - Drama,Kevin Costner,Dances With Wolves,Nominee
4224,1991,Actor In A Leading Role - Drama,Richard Harris,"Field, The",Nominee
4225,1991,Actor In A Leading Role - Drama,Al Pacino,"Godfather Part Iii, The",Nominee
4226,1991,Actor In A Leading Role - Drama,Robin Williams,Awakenings,Nominee
4227,1991,Actress In A Leading Role - Musical or Comedy,Julia Roberts,Pretty Woman,Winner
4228,1991,Actress In A Leading Role - Musical or Comedy,Mia Farrow,Alice (1990),Nominee
4229,1991,Actress In A Leading Role - Musical or Comedy,Andie MacDowell,Green Card,Nominee
4230,1991,Actress In A Leading Role - Musical or Comedy,Demi Moore,Ghost,Nominee
4231,1991,Actress In A Leading Role - Musical or Comedy,Meryl Streep,Postcards From The Edge,Nominee
4232,1991,Actor In A Leading Role - Musical or Comedy,Gérard Depardieu,Green Card,Winner
4233,1991,Actor In A Leading Role - Musical or Comedy,Patrick Swayze,Ghost,Nominee
4234,1991,Actor In A Leading Role - Musical or Comedy,Macaulay Culkin,Home Alone,Nominee
4235,1991,Actor In A Leading Role - Musical or Comedy,Johnny Depp,Edward Scissorhands,Nominee
4236,1991,Actor In A Leading Role - Musical or Comedy,Richard Gere,Pretty Woman,Nominee
4237,1991,Actress In A Supporting Role,Whoopi Goldberg,Ghost,Winner
4238,1991,Actress In A Supporting Role,Lorraine Bracco,Goodfellas,Nominee
4239,1991,Actress In A Supporting Role,Diane Ladd,Wild At Heart,Nominee
4240,1991,Actress In A Supporting Role,Shirley MacLaine,Postcards From The Edge,Nominee
4241,1991,Actress In A Supporting Role,Mary McDonnell,Dances With Wolves,Nominee
4242,1991,Actress In A Supporting Role,Winona Ryder,Mermaids,Nominee
4243,1991,Actor In A Supporting Role,Bruce Davison,Longtime Companion,Winner
4244,1991,Actor In A Supporting Role,Al Pacino,Dick Tracy,Nominee
4245,1991,Actor In A Supporting Role,Joe Pesci,Goodfellas,Nominee
4246,1991,Actor In A Supporting Role,Armand Assante,Q & A,Nominee
4247,1991,Actor In A Supporting Role,Hector Elizondo,Pretty Woman,Nominee
4248,1991,Actor In A Supporting Role,Andy Garcia,"Godfather Part Iii, The",Nominee
4249,1991,Directing,Kevin Costner,Dances With Wolves,Winner
4250,1991,Directing,Bernardo Bertolucci,"Sheltering Sky, The",Nominee
4251,1991,Directing,Francis Ford Coppola,"Godfather Part Iii, The",Nominee
4252,1991,Directing,Barbet Schroeder,Reversal Of Fortune,Nominee
4253,1991,Directing,Martin Scorsese,Goodfellas,Nominee
4254,1991,Writing (Original Screenplay),Michael Blake,Dances With Wolves,Winner
4255,1991,Writing (Original Screenplay),Barry Levinson,Avalon,Nominee
4256,1991,Writing (Original Screenplay),Francis Ford Coppola,"Godfather Part Iii, The",Nominee
4257,1991,Writing (Original Screenplay),Nicholas Pileggi,Goodfellas,Nominee
4258,1991,Writing (Original Screenplay),Nicholas Kazan,Reversal Of Fortune,Nominee
4342,1992,Actress In A Leading Role - Drama,Jodie Foster,"Silence Of The Lambs, The",Winner
4343,1992,Actress In A Leading Role - Drama,Geena Davis,Thelma & Louise,Nominee
4344,1992,Actress In A Leading Role - Drama,Laura Dern,Rambling Rose,Nominee
4345,1992,Actress In A Leading Role - Drama,Susan Sarandon,Thelma & Louise,Nominee
4346,1992,Actress In A Leading Role - Drama,Annette Bening,Bugsy,Nominee
4347,1992,Actor In A Leading Role - Drama,Nick Nolte,"Prince Of Tides, The",Winner
4348,1992,Actor In A Leading Role - Drama,Warren Beatty,Bugsy,Nominee
4349,1992,Actor In A Leading Role - Drama,Kevin Costner,Jfk,Nominee
4350,1992,Actor In A Leading Role - Drama,Robert De Niro,Cape Fear,Nominee
4351,1992,Actor In A Leading Role - Drama,Anthony Hopkins,"Silence Of The Lambs, The",Nominee
4352,1992,Actress In A Leading Role - Musical or Comedy,Bette Midler,For The Boys,Winner
4353,1992,Actress In A Leading Role - Musical or Comedy,Ellen Barkin,Switch,Nominee
4354,1992,Actress In A Leading Role - Musical or Comedy,Kathy Bates,Fried Green Tomatoes,Nominee
4355,1992,Actress In A Leading Role - Musical or Comedy,Anjelica Huston,"Addams Family, The",Nominee
4356,1992,Actress In A Leading Role - Musical or Comedy,Michelle Pfeiffer,Frankie & Johnny,Nominee
4357,1992,Actor In A Leading Role - Musical or Comedy,Robin Williams,"Fisher King, The",Winner
4358,1992,Actor In A Leading Role - Musical or Comedy,Billy Crystal,City Slickers,Nominee
4359,1992,Actor In A Leading Role - Musical or Comedy,Dustin Hoffman,Hook,Nominee
4360,1992,Actor In A Leading Role - Musical or Comedy,Kevin Kline,Soapdish,Nominee
4361,1992,Actor In A Leading Role - Musical or Comedy,Jeff Bridges,"Fisher King, The",Nominee
4362,1992,Actress In A Supporting Role,Mercedes Ruehl,"Fisher King, The",Winner
4363,1992,Actress In A Supporting Role,Diane Ladd,Rambling Rose,Nominee
4364,1992,Actress In A Supporting Role,Juliette Lewis,Cape Fear,Nominee
4365,1992,Actress In A Supporting Role,Jessica Tandy,Fried Green Tomatoes,Nominee
4366,1992,Actress In A Supporting Role,Nicole Kidman,Billy Bathgate,Nominee
4367,1992,Actor In A Supporting Role,Jack Palance,City Slickers,Winner
4368,1992,Actor In A Supporting Role,Ned Beatty,Hear My Song,Nominee
4369,1992,Actor In A Supporting Role,John Goodman,Barton Fink,Nominee
4370,1992,Actor In A Supporting Role,Harvey Keitel,Bugsy,Nominee
4371,1992,Actor In A Supporting Role,Ben Kingsley,Bugsy,Nominee
4372,1992,Directing,Oliver Stone,Jfk,Winner
4373,1992,Directing,Jonathan Demme,"Silence Of The Lambs, The",Nominee
4374,1992,Directing,Terry Gilliam,"Fisher King, The",Nominee
4375,1992,Directing,Barry Levinson,Bugsy,Nominee
4376,1992,Directing,Barbra Streisand,"Prince Of Tides, The",Nominee
4377,1992,Writing (Original Screenplay),Callie Khouri,Thelma & Louise,Winner
4378,1992,Writing (Original Screenplay),James Toback,Bugsy,Nominee
4379,1992,Writing (Original Screenplay),Lawrence Kasdan,Grand Canyon,Nominee
4380,1992,Writing (Original Screenplay),Ted Tally,"Silence Of The Lambs, The",Nominee
4381,1992,Writing (Original Screenplay),"Oliver Stone, Zachary Sklar",Jfk,Nominee
4468,1993,Actress In A Leading Role - Drama,Emma Thompson,Howards End,Winner
4469,1993,Actress In A Leading Role - Drama,Mary McDonnell,Passion Fish,Nominee
4470,1993,Actress In A Leading Role - Drama,Michelle Pfeiffer,Love Field,Nominee
4471,1993,Actress In A Leading Role - Drama,Susan Sarandon,Lorenzo'S Oil,Nominee
4472,1993,Actress In A Leading Role - Drama,Sharon Stone,Basic Instinct,Nominee
4473,1993,Actor In A Leading Role - Drama,Al Pacino,Scent Of A Woman,Winner
4474,1993,Actor In A Leading Role - Drama,Tom Cruise,"Few Good Men, A",Nominee
4475,1993,Actor In A Leading Role - Drama,Robert Downey Jr.,Chaplin,Nominee
4476,1993,Actor In A Leading Role - Drama,Jack Nicholson,Hoffa,Nominee
4477,1993,Actor In A Leading Role - Drama,Denzel Washington,Malcolm X,Nominee
4478,1993,Actress In A Leading Role - Musical or Comedy,Miranda Richardson,Enchanted April,Winner
4479,1993,Actress In A Leading Role - Musical or Comedy,Geena Davis,"League Of Their Own, A",Nominee
4480,1993,Actress In A Leading Role - Musical or Comedy,Whoopi Goldberg,Sister Act,Nominee
4481,1993,Actress In A Leading Role - Musical or Comedy,Shirley MacLaine,Used People,Nominee
4482,1993,Actress In A Leading Role - Musical or Comedy,Meryl Streep,Death Becomes Her,Nominee
4483,1993,Actor In A Leading Role - Musical or Comedy,Tim Robbins,"Player, The",Winner
4484,1993,Actor In A Leading Role - Musical or Comedy,Tim Robbins,Bob Roberts,Nominee
4485,1993,Actor In A Leading Role - Musical or Comedy,Nicolas Cage,Honeymoon In Vegas,Nominee
4486,1993,Actor In A Leading Role - Musical or Comedy,Billy Crystal,Mr. Saturday Night,Nominee
4487,1993,Actor In A Leading Role - Musical or Comedy,Marcello Mastroianni,Used People,Nominee
4488,1993,Actress In A Supporting Role,Joan Plowright,Enchanted April,Winner
4489,1993,Actress In A Supporting Role,Geraldine Chaplin,Chaplin,Nominee
4490,1993,Actress In A Supporting Role,Judy Davis,Husbands And Wives,Nominee
4491,1993,Actress In A Supporting Role,Miranda Richardson,Damage,Nominee
4492,1993,Actress In A Supporting Role,Alfre Woodard,Passion Fish,Nominee
4493,1993,Actor In A Supporting Role,Gene Hackman,Unforgiven,Winner
4494,1993,Actor In A Supporting Role,Jack Nicholson,"Few Good Men, A",Nominee
4495,1993,Actor In A Supporting Role,Chris O'Donnell,Scent Of A Woman,Nominee
4496,1993,Actor In A Supporting Role,Al Pacino,Glengarry Glen Ross,Nominee
4497,1993,Actor In A Supporting Role,David Paymer,Mr. Saturday Night,Nominee
4498,1993,Directing,Clint Eastwood,Unforgiven,Winner
4499,1993,Directing,Robert Altman,"Player, The",Nominee
4500,1993,Directing,James Ivory,Howards End,Nominee
4501,1993,Directing,Robert Redford,"River Runs Through It, A",Nominee
4502,1993,Directing,Rob Reiner,"Few Good Men, A",Nominee
4503,1993,Writing (Original Screenplay),Bo Goldman,Scent Of A Woman,Winner
4504,1993,Writing (Original Screenplay),Aaron Sorkin,"Few Good Men, A",Nominee
4505,1993,Writing (Original Screenplay),Ruth Prawer Jhabvala,Howards End,Nominee
4506,1993,Writing (Original Screenplay),Michael Tolkin,"Player, The",Nominee
4507,1993,Writing (Original Screenplay),David Webb Peoples,Unforgiven,Nominee
4594,1994,Actress In A Leading Role - Drama,Holly Hunter,The Piano,Winner
4595,1994,Actress In A Leading Role - Drama,Juliette Binoche,Three Colours: Blue (Trois Couleurs: Bleu) ,Nominee
4596,1994,Actress In A Leading Role - Drama,Michelle Pfeiffer,"Age Of Innocence, The",Nominee
4597,1994,Actress In A Leading Role - Drama,Emma Thompson," Remains Of The Day, The",Nominee
4598,1994,Actress In A Leading Role - Drama,Debra Winger,"Dangerous Woman, A",Nominee
4599,1994,Actor In A Leading Role - Drama,Tom Hanks,Philadelphia,Winner
4600,1994,Actor In A Leading Role - Drama,Daniel Day-Lewis,In The Name Of The Father,Nominee
4601,1994,Actor In A Leading Role - Drama,Harrison Ford,"Fugitive, The",Nominee
4602,1994,Actor In A Leading Role - Drama,Anthony Hopkins," Remains Of The Day, The",Nominee
4603,1994,Actor In A Leading Role - Drama,Liam Neeson,Schindler'S List,Nominee
4604,1994,Actress In A Leading Role - Musical or Comedy,Angela Bassett,What'S Love Got To Do With It,Winner
4605,1994,Actress In A Leading Role - Musical or Comedy,Stockard Channing,Six Degrees Of Separation,Nominee
4606,1994,Actress In A Leading Role - Musical or Comedy,Anjelica Huston,Addams Family Values,Nominee
4607,1994,Actress In A Leading Role - Musical or Comedy,Diane Keaton,Manhattan Murder Mystery,Nominee
4608,1994,Actress In A Leading Role - Musical or Comedy,Meg Ryan,Sleepless In Seattle,Nominee
4609,1994,Actor In A Leading Role - Musical or Comedy,Robin Williams,Mrs. Doubtfire,Winner
4610,1994,Actor In A Leading Role - Musical or Comedy,Tom Hanks,Sleepless In Seattle,Nominee
4611,1994,Actor In A Leading Role - Musical or Comedy,Kevin Kline,Dave,Nominee
4612,1994,Actor In A Leading Role - Musical or Comedy,Colm Meaney,"Snapper, The",Nominee
4613,1994,Actor In A Leading Role - Musical or Comedy,Johnny Depp,Benny & Joon,Nominee
4614,1994,Actress In A Supporting Role,Winona Ryder,"Age Of Innocence, The",Winner
4615,1994,Actress In A Supporting Role,Penelope Ann Miller,Carlito'S Way,Nominee
4616,1994,Actress In A Supporting Role,Anna Paquin,The Piano,Nominee
4617,1994,Actress In A Supporting Role,Rosie Perez,Fearless,Nominee
4618,1994,Actress In A Supporting Role,Emma Thompson,In The Name Of The Father,Nominee
4619,1994,Actor In A Supporting Role,Tommy Lee Jones,"Fugitive, The",Winner
4620,1994,Actor In A Supporting Role,Ralph Fiennes,Schindler'S List,Nominee
4621,1994,Actor In A Supporting Role,John Malkovich,In The Line Of Fire,Nominee
4622,1994,Actor In A Supporting Role,Sean Penn,Carlito'S Way,Nominee
4623,1994,Actor In A Supporting Role,Leonardo DiCaprio,What'S Eating Gilbert Grape,Nominee
4624,1994,Directing,Steven Spielberg,Schindler'S List,Winner
4625,1994,Directing,Jane Campion,The Piano,Nominee
4626,1994,Directing,Andrew Davis,"Fugitive, The",Nominee
4627,1994,Directing,James Ivory," Remains Of The Day, The",Nominee
4628,1994,Directing,Martin Scorsese,"Age Of Innocence, The",Nominee
4629,1994,Writing (Original Screenplay),Steven Zaillian,Schindler'S List,Winner
4630,1994,Writing (Original Screenplay),Ron Nyswaner,Philadelphia,Nominee
4631,1994,Writing (Original Screenplay),Jane Campion,The Piano,Nominee
4632,1994,Writing (Original Screenplay),Ruth Prawer Jhabvala," Remains Of The Day, The",Nominee
4633,1994,Writing (Original Screenplay),Robert Altman,Short Cuts,Nominee
4716,1995,Actress In A Leading Role - Drama,Jessica Lange,Blue Sky,Winner
4717,1995,Actress In A Leading Role - Drama,Meryl Streep,"River Wild, The",Nominee
4718,1995,Actress In A Leading Role - Drama,Jodie Foster,Nell,Nominee
4719,1995,Actress In A Leading Role - Drama,Jennifer Jason Leigh,Mrs. Parker And The Vicious Circle,Nominee
4720,1995,Actress In A Leading Role - Drama,Miranda Richardson,Tom & Viv,Nominee
4721,1995,Actor In A Leading Role - Drama,Tom Hanks,Forrest Gump,Winner
4722,1995,Actor In A Leading Role - Drama,Morgan Freeman,"Shawshank Redemption, The",Nominee
4723,1995,Actor In A Leading Role - Drama,Paul Newman,Nobody'S Fool,Nominee
4724,1995,Actor In A Leading Role - Drama,Brad Pitt,Legends Of The Fall,Nominee
4725,1995,Actor In A Leading Role - Drama,John Travolta,Pulp Fiction,Nominee
4726,1995,Actress In A Leading Role - Musical or Comedy,Jamie Lee Curtis,True Lies,Winner
4727,1995,Actress In A Leading Role - Musical or Comedy,Geena Davis,Speechless,Nominee
