,year_ceremony,category,film,name,cca
98,2005,Best Picture,"Good Night, and Good Luck.",George Clooney,Nominee
99,2005,Best Picture,King Kong,Peter Jackson,Nominee
100,2005,Best Picture,Memoirs of a Geisha,Rob Marshall,Nominee
101,2005,Best Picture,Munich,Steven Spielberg,Nominee
102,2005,Best Picture,Walk the Line,James Mangold,Nominee
103,2006,Best Picture,The Departed,Martin Scorsese,Winner
104,2006,Best Picture,Babel,Alejandro González Iñárritu,Nominee
105,2006,Best Picture,Blood Diamond,Edward Zwick,Nominee
106,2006,Best Picture,Dreamgirls,Bill Condon,Nominee
107,2006,Best Picture,Letters from Iwo Jima,Clint Eastwood,Nominee
108,2006,Best Picture,Little Children,Todd Field,Nominee
109,2006,Best Picture,Little Miss Sunshine,Jonathan Dayton and Valerie Faris,Nominee
110,2006,Best Picture,Notes on a Scandal,Richard Eyre,Nominee
111,2006,Best Picture,The Queen,Stephen Frears,Nominee
112,2006,Best Picture,United 93,Paul Greengrass,Nominee
113,2007,Best Picture,No Country for Old Men,Joel Coen and Ethan Coen,Winner
114,2007,Best Picture,American Gangster,Ridley Scott,Nominee
115,2007,Best Picture,Atonement,Joe Wright,Nominee
116,2007,Best Picture,The Diving Bell and the Butterfly,Julian Schnabel,Nominee
117,2007,Best Picture,Into the Wild,Sean Penn,Nominee
118,2007,Best Picture,Juno,Jason Reitman,Nominee
119,2007,Best Picture,The Kite Runner,Marc Forster,Nominee
120,2007,Best Picture,Michael Clayton,Tony Gilroy,Nominee
121,2007,Best Picture,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,Nominee
122,2007,Best Picture,There Will Be Blood,Paul Thomas Anderson,Nominee
123,2008,Best Picture,Slumdog Millionaire,Danny Boyle,Winner
124,2008,Best Picture,Changeling,Clint Eastwood,Nominee
125,2008,Best Picture,The Curious Case of Benjamin Button,David Fincher,Nominee
126,2008,Best Picture,The Dark Knight,Christopher Nolan,Nominee
127,2008,Best Picture,Doubt,John Patrick Shanley,Nominee
128,2008,Best Picture,Frost/Nixon,Ron Howard,Nominee
129,2008,Best Picture,Milk,Gus Van Sant,Nominee
130,2008,Best Picture,The Reader,Stephen Daldry,Nominee
131,2008,Best Picture,WALL-E,Andrew Stanton,Nominee
132,2008,Best Picture,The Wrestler,Darren Aronofsky,Nominee
133,2009,Best Picture,The Hurt Locker,Kathryn Bigelow,Winner
134,2009,Best Picture,Avatar,James Cameron,Nominee
135,2009,Best Picture,An Education,Lone Scherfig,Nominee
136,2009,Best Picture,Inglourious Basterds,Quentin Tarantino,Nominee
137,2009,Best Picture,Invictus,Clint Eastwood,Nominee
