,year_ceremony,category,name,film,oscar
6991,1991,Writing (Original Screenplay),Peter Weir,Green Card,Nominee
6992,1991,Writing (Original Screenplay),Whit Stillman,Metropolitan,Nominee
6997,1992,Actor In A Leading Role,Warren Beatty,Bugsy,Nominee
6998,1992,Actor In A Leading Role,Robert De Niro,Cape Fear,Nominee
6999,1992,Actor In A Leading Role,Anthony Hopkins,The Silence Of The Lambs,Winner
7000,1992,Actor In A Leading Role,Nick Nolte,The Prince Of Tides,Nominee
7001,1992,Actor In A Leading Role,Robin Williams,The Fisher King,Nominee
7002,1992,Actor In A Supporting Role,Tommy Lee Jones,Jfk,Nominee
7003,1992,Actor In A Supporting Role,Harvey Keitel,Bugsy,Nominee
7004,1992,Actor In A Supporting Role,Ben Kingsley,Bugsy,Nominee
7005,1992,Actor In A Supporting Role,Michael Lerner,Barton Fink,Nominee
7006,1992,Actor In A Supporting Role,Jack Palance,City Slickers,Winner
7007,1992,Actress In A Leading Role,Geena Davis,Thelma & Louise,Nominee
7008,1992,Actress In A Leading Role,Laura Dern,Rambling Rose,Nominee
7009,1992,Actress In A Leading Role,Jodie Foster,The Silence Of The Lambs,Winner
7010,1992,Actress In A Leading Role,Bette Midler,For The Boys,Nominee
7011,1992,Actress In A Leading Role,Susan Sarandon,Thelma & Louise,Nominee
7012,1992,Actress In A Supporting Role,Diane Ladd,Rambling Rose,Nominee
7013,1992,Actress In A Supporting Role,Juliette Lewis,Cape Fear,Nominee
7014,1992,Actress In A Supporting Role,Kate Nelligan,The Prince Of Tides,Nominee
7015,1992,Actress In A Supporting Role,Mercedes Ruehl,The Fisher King,Winner
7016,1992,Actress In A Supporting Role,Jessica Tandy,Fried Green Tomatoes,Nominee
7032,1992,Directing,John Singleton,Boyz N The Hood,Nominee
7033,1992,Directing,Barry Levinson,Bugsy,Nominee
7034,1992,Directing,Oliver Stone,Jfk,Nominee
7035,1992,Directing,Jonathan Demme,The Silence Of The Lambs,Winner
7036,1992,Directing,Ridley Scott,Thelma & Louise,Nominee
7052,1992,International Feature Film,Iceland,Children Of Nature,Nominee
7053,1992,International Feature Film,Czechoslovakia,The Elementary School,Nominee
7054,1992,International Feature Film,Italy,Mediterraneo,Winner
7055,1992,International Feature Film,Sweden,The Ox,Nominee
7056,1992,International Feature Film,Hong Kong,Raise The Red Lantern,Nominee
7070,1992,Best Picture,"Don Hahn, Producer",Beauty And The Beast,Nominee
7071,1992,Best Picture,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",Bugsy,Nominee
7072,1992,Best Picture,"A. Kitman Ho and Oliver Stone, Producers",Jfk,Nominee
7073,1992,Best Picture,"Barbra Streisand and Andrew Karsch, Producers",The Prince Of Tides,Nominee
7074,1992,Best Picture,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",The Silence Of The Lambs,Winner
7092,1992,Writing (Adapted Screenplay),Agnieszka Holland,Europa Europa,Nominee
7093,1992,Writing (Adapted Screenplay),"Fannie Flagg, Carol Sobieski",Fried Green Tomatoes,Nominee
7094,1992,Writing (Adapted Screenplay),"Oliver Stone, Zachary Sklar",Jfk,Nominee
7095,1992,Writing (Adapted Screenplay),"Pat Conroy, Becky Johnston",The Prince Of Tides,Nominee
7096,1992,Writing (Adapted Screenplay),Ted Tally,The Silence Of The Lambs,Winner
7097,1992,Writing (Original Screenplay),John Singleton,Boyz N The Hood,Nominee
7098,1992,Writing (Original Screenplay),James Toback,Bugsy,Nominee
7099,1992,Writing (Original Screenplay),Richard LaGravenese,The Fisher King,Nominee
7100,1992,Writing (Original Screenplay),"Lawrence Kasdan, Meg Kasdan",Grand Canyon,Nominee
7101,1992,Writing (Original Screenplay),Callie Khouri,Thelma & Louise,Winner
7104,1993,Actor In A Leading Role,Robert Downey Jr.,Chaplin,Nominee
7105,1993,Actor In A Leading Role,Clint Eastwood,Unforgiven,Nominee
7106,1993,Actor In A Leading Role,Al Pacino,Scent Of A Woman,Winner
7107,1993,Actor In A Leading Role,Stephen Rea,The Crying Game,Nominee
7108,1993,Actor In A Leading Role,Denzel Washington,Malcolm X,Nominee
7109,1993,Actor In A Supporting Role,Jaye Davidson,The Crying Game,Nominee
7110,1993,Actor In A Supporting Role,Gene Hackman,Unforgiven,Winner
7111,1993,Actor In A Supporting Role,Jack Nicholson,A Few Good Men,Nominee
7112,1993,Actor In A Supporting Role,Al Pacino,Glengarry Glen Ross,Nominee
7113,1993,Actor In A Supporting Role,David Paymer,Mr. Saturday Night,Nominee
7114,1993,Actress In A Leading Role,Catherine Deneuve,Indochine,Nominee
7115,1993,Actress In A Leading Role,Mary McDonnell,Passion Fish,Nominee
7116,1993,Actress In A Leading Role,Michelle Pfeiffer,Love Field,Nominee
7117,1993,Actress In A Leading Role,Susan Sarandon,Lorenzo'S Oil,Nominee
7118,1993,Actress In A Leading Role,Emma Thompson,Howards End,Winner
7119,1993,Actress In A Supporting Role,Judy Davis,Husbands And Wives,Nominee
7120,1993,Actress In A Supporting Role,Joan Plowright,Enchanted April,Nominee
7121,1993,Actress In A Supporting Role,Vanessa Redgrave,Howards End,Nominee
7122,1993,Actress In A Supporting Role,Miranda Richardson,Damage,Nominee
7123,1993,Actress In A Supporting Role,Marisa Tomei,My Cousin Vinny,Winner
7139,1993,Directing,Neil Jordan,The Crying Game,Nominee
7140,1993,Directing,James Ivory,Howards End,Nominee
7141,1993,Directing,Robert Altman,The Player,Nominee
7142,1993,Directing,Martin Brest,Scent Of A Woman,Nominee
7143,1993,Directing,Clint Eastwood,Unforgiven,Winner
7159,1993,International Feature Film,Russia,Close To Eden,Nominee
7160,1993,International Feature Film,Belgium,Daens,Nominee
7161,1993,International Feature Film,France,Indochine,Winner
7162,1993,International Feature Film,Uruguay,A Place In The World,Nominee
7163,1993,International Feature Film,Germany,Schtonk!,Nominee
7177,1993,Best Picture,"Stephen Woolley, Producer",The Crying Game,Nominee
7178,1993,Best Picture,"David Brown, Rob Reiner and Andrew Scheinman, Producers",A Few Good Men,Nominee
7179,1993,Best Picture,"Ismail Merchant, Producer",Howards End,Nominee
7180,1993,Best Picture,"Martin Brest, Producer",Scent Of A Woman,Nominee
7181,1993,Best Picture,"Clint Eastwood, Producer",Unforgiven,Winner
7203,1993,Writing (Adapted Screenplay),Peter Barnes,Enchanted April,Nominee
7204,1993,Writing (Adapted Screenplay),Ruth Prawer Jhabvala,Howards End,Winner
7205,1993,Writing (Adapted Screenplay),Michael Tolkin,The Player,Nominee
7206,1993,Writing (Adapted Screenplay),Richard Friedenberg,A River Runs Through It,Nominee
7207,1993,Writing (Adapted Screenplay),Bo Goldman,Scent Of A Woman,Nominee
7208,1993,Writing (Original Screenplay),Neil Jordan,The Crying Game,Winner
7209,1993,Writing (Original Screenplay),Woody Allen,Husbands And Wives,Nominee
7210,1993,Writing (Original Screenplay),"George Miller, Nick Enright",Lorenzo'S Oil,Nominee
7211,1993,Writing (Original Screenplay),John Sayles,Passion Fish,Nominee
7212,1993,Writing (Original Screenplay),David Webb Peoples,Unforgiven,Nominee
7216,1994,Actor In A Leading Role,Daniel Day-Lewis,In The Name Of The Father,Nominee
7217,1994,Actor In A Leading Role,Laurence Fishburne,What'S Love Got To Do With It,Nominee
7218,1994,Actor In A Leading Role,Tom Hanks,Philadelphia,Winner
7219,1994,Actor In A Leading Role,Anthony Hopkins,The Remains Of The Day,Nominee
7220,1994,Actor In A Leading Role,Liam Neeson,Schindler'S List,Nominee
7221,1994,Actor In A Supporting Role,Leonardo DiCaprio,What'S Eating Gilbert Grape,Nominee
7222,1994,Actor In A Supporting Role,Ralph Fiennes,Schindler'S List,Nominee
7223,1994,Actor In A Supporting Role,Tommy Lee Jones,The Fugitive,Winner
7224,1994,Actor In A Supporting Role,John Malkovich,In The Line Of Fire,Nominee
7225,1994,Actor In A Supporting Role,Pete Postlethwaite,In The Name Of The Father,Nominee
7226,1994,Actress In A Leading Role,Angela Bassett,What'S Love Got To Do With It,Nominee
7227,1994,Actress In A Leading Role,Stockard Channing,Six Degrees Of Separation,Nominee
7228,1994,Actress In A Leading Role,Holly Hunter,The Piano,Winner
7229,1994,Actress In A Leading Role,Emma Thompson,The Remains Of The Day,Nominee
7230,1994,Actress In A Leading Role,Debra Winger,Shadowlands,Nominee
7231,1994,Actress In A Supporting Role,Holly Hunter,The Firm,Nominee
7232,1994,Actress In A Supporting Role,Anna Paquin,The Piano,Winner
7233,1994,Actress In A Supporting Role,Rosie Perez,Fearless,Nominee
7234,1994,Actress In A Supporting Role,Winona Ryder,The Age Of Innocence,Nominee
7235,1994,Actress In A Supporting Role,Emma Thompson,In The Name Of The Father,Nominee
7251,1994,Directing,Jim Sheridan,In The Name Of The Father,Nominee
7252,1994,Directing,Jane Campion,The Piano,Nominee
7253,1994,Directing,James Ivory,The Remains Of The Day,Nominee
7254,1994,Directing,Steven Spielberg,Schindler'S List,Winner
7255,1994,Directing,Robert Altman,Short Cuts,Nominee
7269,1994,International Feature Film,Spain,Belle Epoque,Winner
7270,1994,International Feature Film,Hong Kong,Farewell My Concubine,Nominee
7271,1994,International Feature Film,United Kingdom,Hedd Wyn,Nominee
7272,1994,International Feature Film,Vietnam,The Scent Of Green Papaya,Nominee
7273,1994,International Feature Film,Taiwan,The Wedding Banquet,Nominee
7287,1994,Best Picture,"Arnold Kopelson, Producer",The Fugitive,Nominee
7288,1994,Best Picture,"Jim Sheridan, Producer",In The Name Of The Father,Nominee
7289,1994,Best Picture,"Jan Chapman, Producer",The Piano,Nominee
7290,1994,Best Picture,"Mike Nichols, John Calley and Ismail Merchant, Producers",The Remains Of The Day,Nominee
7291,1994,Best Picture,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Schindler'S List,Winner
7313,1994,Writing (Adapted Screenplay),"Jay Cocks, Martin Scorsese",The Age Of Innocence,Nominee
7314,1994,Writing (Adapted Screenplay),"Terry George, Jim Sheridan",In The Name Of The Father,Nominee
7315,1994,Writing (Adapted Screenplay),Ruth Prawer Jhabvala,The Remains Of The Day,Nominee
7316,1994,Writing (Adapted Screenplay),Steven Zaillian,Schindler'S List,Winner
7317,1994,Writing (Adapted Screenplay),William Nicholson,Shadowlands,Nominee
7318,1994,Writing (Original Screenplay),Gary Ross,Dave,Nominee
7319,1994,Writing (Original Screenplay),Jeff Maguire,In The Line Of Fire,Nominee
7320,1994,Writing (Original Screenplay),Ron Nyswaner,Philadelphia,Nominee
7321,1994,Writing (Original Screenplay),Jane Campion,The Piano,Winner
7322,1994,Writing (Original Screenplay),"Screenplay by Nora Ephron, David S. Ward, Jeff Arch;  Story by Jeff Arch",Sleepless In Seattle,Nominee
7325,1995,Actor In A Leading Role,Morgan Freeman,The Shawshank Redemption,Nominee
7326,1995,Actor In A Leading Role,Tom Hanks,Forrest Gump,Winner
7327,1995,Actor In A Leading Role,Nigel Hawthorne,The Madness Of King George,Nominee
7328,1995,Actor In A Leading Role,Paul Newman,Nobody'S Fool,Nominee
7329,1995,Actor In A Leading Role,John Travolta,Pulp Fiction,Nominee
7330,1995,Actor In A Supporting Role,Samuel L. Jackson,Pulp Fiction,Nominee
7331,1995,Actor In A Supporting Role,Martin Landau,Ed Wood,Winner
7332,1995,Actor In A Supporting Role,Chazz Palminteri,Bullets Over Broadway,Nominee
7333,1995,Actor In A Supporting Role,Paul Scofield,Quiz Show,Nominee
7334,1995,Actor In A Supporting Role,Gary Sinise,Forrest Gump,Nominee
7335,1995,Actress In A Leading Role,Jodie Foster,Nell,Nominee
7336,1995,Actress In A Leading Role,Jessica Lange,Blue Sky,Winner
7337,1995,Actress In A Leading Role,Miranda Richardson,Tom & Viv,Nominee
7338,1995,Actress In A Leading Role,Winona Ryder,Little Women,Nominee
7339,1995,Actress In A Leading Role,Susan Sarandon,The Client,Nominee
7340,1995,Actress In A Supporting Role,Rosemary Harris,Tom & Viv,Nominee
7341,1995,Actress In A Supporting Role,Helen Mirren,The Madness Of King George,Nominee
7342,1995,Actress In A Supporting Role,Uma Thurman,Pulp Fiction,Nominee
7343,1995,Actress In A Supporting Role,Jennifer Tilly,Bullets Over Broadway,Nominee
7344,1995,Actress In A Supporting Role,Dianne Wiest,Bullets Over Broadway,Winner
7360,1995,Directing,Woody Allen,Bullets Over Broadway,Nominee
7361,1995,Directing,Robert Zemeckis,Forrest Gump,Winner
7362,1995,Directing,Quentin Tarantino,Pulp Fiction,Nominee
7363,1995,Directing,Robert Redford,Quiz Show,Nominee
7364,1995,Directing,Krzysztof Kieslowski,Red,Nominee
7380,1995,International Feature Film,The Former Yugoslav Republic of Macedonia,Before The Rain,Nominee
7381,1995,International Feature Film,Russia,Burnt By The Sun,Winner
7382,1995,International Feature Film,Taiwan,Eat Drink Man Woman,Nominee
7383,1995,International Feature Film,Belgium,Farinelli: Il Castrato,Nominee
7384,1995,International Feature Film,Cuba,Strawberry And Chocolate,Nominee
7398,1995,Best Picture,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump,Winner
7399,1995,Best Picture,"Duncan Kenworthy, Producer",Four Weddings And A Funeral,Nominee
7400,1995,Best Picture,"Lawrence Bender, Producer",Pulp Fiction,Nominee
7401,1995,Best Picture,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",Quiz Show,Nominee
7402,1995,Best Picture,"Niki Marvin, Producer",The Shawshank Redemption,Nominee
7424,1995,Writing (Adapted Screenplay),Eric Roth,Forrest Gump,Winner
7425,1995,Writing (Adapted Screenplay),Alan Bennett,The Madness Of King George,Nominee
7426,1995,Writing (Adapted Screenplay),Robert Benton,Nobody'S Fool,Nominee
7427,1995,Writing (Adapted Screenplay),Paul Attanasio,Quiz Show,Nominee
7428,1995,Writing (Adapted Screenplay),Frank Darabont,The Shawshank Redemption,Nominee
7429,1995,Writing (Original Screenplay),"Woody Allen, Douglas McGrath",Bullets Over Broadway,Nominee
7430,1995,Writing (Original Screenplay),Richard Curtis,Four Weddings And A Funeral,Nominee
7431,1995,Writing (Original Screenplay),"Frances Walsh, Peter Jackson",Heavenly Creatures,Nominee
7432,1995,Writing (Original Screenplay),Screenplay by Quentin Tarantino;  Stories by Quentin Tarantino & Roger Avary,Pulp Fiction,Winner
7433,1995,Writing (Original Screenplay),"Krzysztof Piesiewicz, Krzysztof Kieslowski",Red,Nominee
7437,1996,Actor In A Leading Role,Nicolas Cage,Leaving Las Vegas,Winner
7438,1996,Actor In A Leading Role,Richard Dreyfuss,Mr. Holland'S Opus,Nominee
7439,1996,Actor In A Leading Role,Anthony Hopkins,Nixon,Nominee
7440,1996,Actor In A Leading Role,Sean Penn,Dead Man Walking,Nominee
7441,1996,Actor In A Leading Role,Massimo Troisi,The Postman (Il Postino),Nominee
7442,1996,Actor In A Supporting Role,James Cromwell,Babe,Nominee
7443,1996,Actor In A Supporting Role,Ed Harris,Apollo 13,Nominee
7444,1996,Actor In A Supporting Role,Brad Pitt,12 Monkeys,Nominee
7445,1996,Actor In A Supporting Role,Tim Roth,Rob Roy,Nominee
7446,1996,Actor In A Supporting Role,Kevin Spacey,The Usual Suspects,Winner
7447,1996,Actress In A Leading Role,Susan Sarandon,Dead Man Walking,Winner
7448,1996,Actress In A Leading Role,Elisabeth Shue,Leaving Las Vegas,Nominee
7449,1996,Actress In A Leading Role,Sharon Stone,Casino,Nominee
7450,1996,Actress In A Leading Role,Meryl Streep,The Bridges Of Madison County,Nominee
7451,1996,Actress In A Leading Role,Emma Thompson,Sense And Sensibility,Nominee
7452,1996,Actress In A Supporting Role,Joan Allen,Nixon,Nominee
7453,1996,Actress In A Supporting Role,Kathleen Quinlan,Apollo 13,Nominee
7454,1996,Actress In A Supporting Role,Mira Sorvino,Mighty Aphrodite,Winner
7455,1996,Actress In A Supporting Role,Mare Winningham,Georgia,Nominee
7456,1996,Actress In A Supporting Role,Kate Winslet,Sense And Sensibility,Nominee
7472,1996,Directing,Chris Noonan,Babe,Nominee
7473,1996,Directing,Mel Gibson,Braveheart,Winner
7474,1996,Directing,Tim Robbins,Dead Man Walking,Nominee
7475,1996,Directing,Mike Figgis,Leaving Las Vegas,Nominee
7476,1996,Directing,Michael Radford,The Postman (Il Postino),Nominee
7492,1996,International Feature Film,Sweden,All Things Fair,Nominee
7493,1996,International Feature Film,The Netherlands,Antonia'S Line,Winner
7494,1996,International Feature Film,Algeria,Dust Of Life,Nominee
7495,1996,International Feature Film,Brazil,O Quatrilho,Nominee
7496,1996,International Feature Film,Italy,The Star Maker,Nominee
7515,1996,Best Picture,"Brian Grazer, Producer",Apollo 13,Nominee
7516,1996,Best Picture,"George Miller, Doug Mitchell and Bill Miller, Producers",Babe,Nominee
7517,1996,Best Picture,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Braveheart,Winner
7518,1996,Best Picture,"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers",The Postman (Il Postino),Nominee
7519,1996,Best Picture,"Lindsay Doran, Producer",Sense And Sensibility,Nominee
7540,1996,Writing (Adapted Screenplay),"William Broyles, Jr., Al Reinert",Apollo 13,Nominee
7541,1996,Writing (Adapted Screenplay),"George Miller, Chris Noonan",Babe,Nominee
7542,1996,Writing (Adapted Screenplay),Mike Figgis,Leaving Las Vegas,Nominee
7543,1996,Writing (Adapted Screenplay),"Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, Massimo Troisi",The Postman (Il Postino),Nominee
7544,1996,Writing (Adapted Screenplay),Emma Thompson,Sense And Sensibility,Winner
7545,1996,Writing (Original Screenplay),Randall Wallace,Braveheart,Nominee
7546,1996,Writing (Original Screenplay),Woody Allen,Mighty Aphrodite,Nominee
7547,1996,Writing (Original Screenplay),"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone",Nixon,Nominee
7548,1996,Writing (Original Screenplay),"Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow;  Story by John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft",Toy Story,Nominee
7549,1996,Writing (Original Screenplay),Christopher McQuarrie,The Usual Suspects,Winner
7553,1997,Actor In A Leading Role,Tom Cruise,Jerry Maguire,Nominee
7554,1997,Actor In A Leading Role,Ralph Fiennes,The English Patient,Nominee
7555,1997,Actor In A Leading Role,Woody Harrelson,The People Vs. Larry Flynt,Nominee
7556,1997,Actor In A Leading Role,Geoffrey Rush,Shine,Winner
7557,1997,Actor In A Leading Role,Billy Bob Thornton,Sling Blade,Nominee
7558,1997,Actor In A Supporting Role,"Cuba Gooding, Jr.",Jerry Maguire,Winner
7559,1997,Actor In A Supporting Role,William H. Macy,Fargo,Nominee
7560,1997,Actor In A Supporting Role,Armin Mueller-Stahl,Shine,Nominee
7561,1997,Actor In A Supporting Role,Edward Norton,Primal Fear,Nominee
7562,1997,Actor In A Supporting Role,James Woods,Ghosts Of Mississippi,Nominee
7563,1997,Actress In A Leading Role,Brenda Blethyn,Secrets & Lies,Nominee
7564,1997,Actress In A Leading Role,Diane Keaton,Marvin'S Room,Nominee
7565,1997,Actress In A Leading Role,Frances McDormand,Fargo,Winner
7566,1997,Actress In A Leading Role,Kristin Scott Thomas,The English Patient,Nominee
7567,1997,Actress In A Leading Role,Emily Watson,Breaking The Waves,Nominee
7568,1997,Actress In A Supporting Role,Joan Allen,The Crucible,Nominee
7569,1997,Actress In A Supporting Role,Lauren Bacall,The Mirror Has Two Faces,Nominee
7570,1997,Actress In A Supporting Role,Juliette Binoche,The English Patient,Winner
7571,1997,Actress In A Supporting Role,Barbara Hershey,The Portrait Of A Lady,Nominee
7572,1997,Actress In A Supporting Role,Marianne Jean-Baptiste,Secrets & Lies,Nominee
7588,1997,Directing,Anthony Minghella,The English Patient,Winner
7589,1997,Directing,Joel Coen,Fargo,Nominee
7590,1997,Directing,Milos Forman,The People Vs. Larry Flynt,Nominee
7591,1997,Directing,Mike Leigh,Secrets & Lies,Nominee
7592,1997,Directing,Scott Hicks,Shine,Nominee
7608,1997,International Feature Film,Georgia,A Chef In Love,Nominee
7609,1997,International Feature Film,Czech Republic,Kolya,Winner
7610,1997,International Feature Film,Norway,The Other Side Of Sunday,Nominee
7611,1997,International Feature Film,Russia,Prisoner Of The Mountains,Nominee
7612,1997,International Feature Film,France,Ridicule,Nominee
7631,1997,Best Picture,"Saul Zaentz, Producer",The English Patient,Winner
7632,1997,Best Picture,"Ethan Coen, Producer",Fargo,Nominee
7633,1997,Best Picture,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",Jerry Maguire,Nominee
7634,1997,Best Picture,"Simon Channing-Williams, Producer",Secrets & Lies,Nominee
7635,1997,Best Picture,"Jane Scott, Producer",Shine,Nominee
7656,1997,Writing (Adapted Screenplay),Arthur Miller,The Crucible,Nominee
7657,1997,Writing (Adapted Screenplay),Anthony Minghella,The English Patient,Nominee
7658,1997,Writing (Adapted Screenplay),Kenneth Branagh,Hamlet,Nominee
7659,1997,Writing (Adapted Screenplay),Billy Bob Thornton,Sling Blade,Winner
7660,1997,Writing (Adapted Screenplay),John Hodge,Trainspotting,Nominee
7661,1997,Writing (Original Screenplay),"Ethan Coen, Joel Coen",Fargo,Winner
7662,1997,Writing (Original Screenplay),Cameron Crowe,Jerry Maguire,Nominee
7663,1997,Writing (Original Screenplay),John Sayles,Lone Star,Nominee
7664,1997,Writing (Original Screenplay),Mike Leigh,Secrets & Lies,Nominee
7665,1997,Writing (Original Screenplay),Screenplay by Jan Sardi;  Story by Scott Hicks,Shine,Nominee
7668,1998,Actor In A Leading Role,Matt Damon,Good Will Hunting,Nominee
7669,1998,Actor In A Leading Role,Robert Duvall,The Apostle,Nominee
7670,1998,Actor In A Leading Role,Peter Fonda,Ulee'S Gold,Nominee
7671,1998,Actor In A Leading Role,Dustin Hoffman,Wag The Dog,Nominee
7672,1998,Actor In A Leading Role,Jack Nicholson,As Good As It Gets,Winner
7673,1998,Actor In A Supporting Role,Robert Forster,Jackie Brown,Nominee
7674,1998,Actor In A Supporting Role,Anthony Hopkins,Amistad,Nominee
7675,1998,Actor In A Supporting Role,Greg Kinnear,As Good As It Gets,Nominee
7676,1998,Actor In A Supporting Role,Burt Reynolds,Boogie Nights,Nominee
7677,1998,Actor In A Supporting Role,Robin Williams,Good Will Hunting,Winner
7678,1998,Actress In A Leading Role,Helena Bonham Carter,The Wings Of The Dove,Nominee
7679,1998,Actress In A Leading Role,Julie Christie,Afterglow,Nominee
7680,1998,Actress In A Leading Role,Judi Dench,Mrs. Brown,Nominee
7681,1998,Actress In A Leading Role,Helen Hunt,As Good As It Gets,Winner
7682,1998,Actress In A Leading Role,Kate Winslet,Titanic,Nominee
7683,1998,Actress In A Supporting Role,Kim Basinger,L.A. Confidential,Winner
7684,1998,Actress In A Supporting Role,Joan Cusack,In & Out,Nominee
7685,1998,Actress In A Supporting Role,Minnie Driver,Good Will Hunting,Nominee
7686,1998,Actress In A Supporting Role,Julianne Moore,Boogie Nights,Nominee
7687,1998,Actress In A Supporting Role,Gloria Stuart,Titanic,Nominee
7703,1998,Directing,Peter Cattaneo,The Full Monty,Nominee
7704,1998,Directing,Gus Van Sant,Good Will Hunting,Nominee
7705,1998,Directing,Curtis Hanson,L.A. Confidential,Nominee
7706,1998,Directing,Atom Egoyan,The Sweet Hereafter,Nominee
7707,1998,Directing,James Cameron,Titanic,Winner
7723,1998,International Feature Film,Germany,Beyond Silence,Nominee
7724,1998,International Feature Film,The Netherlands,Character,Winner
7725,1998,International Feature Film,Brazil,Four Days In September,Nominee
7726,1998,International Feature Film,Spain,Secrets Of The Heart,Nominee
7727,1998,International Feature Film,Russia,The Thief,Nominee
7746,1998,Best Picture,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",As Good As It Gets,Nominee
7747,1998,Best Picture,"Uberto Pasolini, Producer",The Full Monty,Nominee
7748,1998,Best Picture,"Lawrence Bender, Producer",Good Will Hunting,Nominee
7749,1998,Best Picture,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",L.A. Confidential,Nominee
7750,1998,Best Picture,"James Cameron and Jon Landau, Producers",Titanic,Winner
7772,1998,Writing (Adapted Screenplay),Paul Attanasio,Donnie Brasco,Nominee
7773,1998,Writing (Adapted Screenplay),"Brian Helgeland, Curtis Hanson",L.A. Confidential,Winner
7774,1998,Writing (Adapted Screenplay),Atom Egoyan,The Sweet Hereafter,Nominee
7775,1998,Writing (Adapted Screenplay),"Hilary Henkin, David Mamet",Wag The Dog,Nominee
7776,1998,Writing (Adapted Screenplay),Hossein Amini,The Wings Of The Dove,Nominee
7777,1998,Writing (Original Screenplay),"Screenplay by Mark Andrus, James L. Brooks;  Story by Mark Andrus",As Good As It Gets,Nominee
7778,1998,Writing (Original Screenplay),Paul Thomas Anderson,Boogie Nights,Nominee
7779,1998,Writing (Original Screenplay),Woody Allen,Deconstructing Harry,Nominee
7780,1998,Writing (Original Screenplay),Simon Beaufoy,The Full Monty,Nominee
7781,1998,Writing (Original Screenplay),"Ben Affleck, Matt Damon",Good Will Hunting,Winner
7783,1999,Actor In A Leading Role,Roberto Benigni,Life Is Beautiful,Winner
7784,1999,Actor In A Leading Role,Tom Hanks,Saving Private Ryan,Nominee
7785,1999,Actor In A Leading Role,Ian McKellen,Gods And Monsters,Nominee
7786,1999,Actor In A Leading Role,Nick Nolte,Affliction,Nominee
7787,1999,Actor In A Leading Role,Edward Norton,American History X,Nominee
7788,1999,Actor In A Supporting Role,James Coburn,Affliction,Winner
7789,1999,Actor In A Supporting Role,Robert Duvall,A Civil Action,Nominee
7790,1999,Actor In A Supporting Role,Ed Harris,The Truman Show,Nominee
7791,1999,Actor In A Supporting Role,Geoffrey Rush,Shakespeare In Love,Nominee
7792,1999,Actor In A Supporting Role,Billy Bob Thornton,A Simple Plan,Nominee
7793,1999,Actress In A Leading Role,Cate Blanchett,Elizabeth,Nominee
7794,1999,Actress In A Leading Role,Fernanda Montenegro,Central Station,Nominee
7795,1999,Actress In A Leading Role,Gwyneth Paltrow,Shakespeare In Love,Winner
7796,1999,Actress In A Leading Role,Meryl Streep,One True Thing,Nominee
7797,1999,Actress In A Leading Role,Emily Watson,Hilary And Jackie,Nominee
7798,1999,Actress In A Supporting Role,Kathy Bates,Primary Colors,Nominee
7799,1999,Actress In A Supporting Role,Brenda Blethyn,Little Voice,Nominee
7800,1999,Actress In A Supporting Role,Judi Dench,Shakespeare In Love,Winner
7801,1999,Actress In A Supporting Role,Rachel Griffiths,Hilary And Jackie,Nominee
7802,1999,Actress In A Supporting Role,Lynn Redgrave,Gods And Monsters,Nominee
7818,1999,Directing,Roberto Benigni,Life Is Beautiful,Nominee
7819,1999,Directing,Steven Spielberg,Saving Private Ryan,Winner
7820,1999,Directing,John Madden,Shakespeare In Love,Nominee
7821,1999,Directing,Terrence Malick,The Thin Red Line,Nominee
7822,1999,Directing,Peter Weir,The Truman Show,Nominee
7836,1999,International Feature Film,Brazil,Central Station,Nominee
7837,1999,International Feature Film,Iran,Children Of Heaven,Nominee
7838,1999,International Feature Film,Spain,The Grandfather,Nominee
7839,1999,International Feature Film,Italy,Life Is Beautiful,Winner
7840,1999,International Feature Film,Argentina,Tango,Nominee
7859,1999,Best Picture,"Alison Owen, Eric Fellner and Tim Bevan, Producers",Elizabeth,Nominee
7860,1999,Best Picture,"Elda Ferri and Gianluigi Braschi, Producers",Life Is Beautiful,Nominee
7861,1999,Best Picture,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",Saving Private Ryan,Nominee
7862,1999,Best Picture,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Shakespeare In Love,Winner
7863,1999,Best Picture,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",The Thin Red Line,Nominee
7885,1999,Writing (Adapted Screenplay),Bill Condon,Gods And Monsters,Winner
