,year_ceremony,category,name,film,oscar,golden_globe,sag,cca
70,1991,International Feature Film,France,Cyrano De Bergerac,Nominee,No,No,No
71,1991,International Feature Film,Switzerland,Journey Of Hope,Winner,No,No,No
72,1991,International Feature Film,People's Republic of China,Ju Dou,Nominee,No,No,No
73,1991,International Feature Film,Germany,The Nasty Girl,Nominee,No,No,No
74,1991,International Feature Film,Italy,Open Doors,Nominee,No,No,No
75,1991,Best Picture,"Walter F. Parkes and Lawrence Lasker, Producers",Awakenings,Nominee,No,No,No
76,1991,Best Picture,"Jim Wilson and Kevin Costner, Producers",Dances With Wolves,Winner,No,No,No
77,1991,Best Picture,"Lisa Weinstein, Producer",Ghost,Nominee,No,No,No
78,1991,Best Picture,"Francis Ford Coppola, Producer","Godfather Part Iii, The",Nominee,No,No,No
79,1991,Best Picture,"Irwin Winkler, Producer",Good Fellas,Nominee,No,No,No
80,1991,Writing (Adapted Screenplay),Steven Zaillian,Awakenings,Nominee,No,No,No
81,1991,Writing (Adapted Screenplay),Michael Blake,Dances With Wolves,Winner,No,No,No
82,1991,Writing (Adapted Screenplay),"Nicholas Pileggi, Martin Scorsese",Good Fellas,Nominee,No,No,No
83,1991,Writing (Adapted Screenplay),Donald E. Westlake,"Grifters, The",Nominee,No,No,No
84,1991,Writing (Adapted Screenplay),Nicholas Kazan,Reversal Of Fortune,Nominee,No,No,No
85,1991,Writing (Original Screenplay),Woody Allen,Alice (1990),Nominee,No,No,No
86,1991,Writing (Original Screenplay),Barry Levinson,Avalon,Nominee,No,No,No
87,1991,Writing (Original Screenplay),Bruce Joel Rubin,Ghost,Winner,No,No,No
88,1991,Writing (Original Screenplay),Peter Weir,Green Card,Nominee,No,No,No
89,1991,Writing (Original Screenplay),Whit Stillman,Metropolitan,Nominee,No,No,No
90,1992,Actor In A Leading Role,Warren Beatty,Bugsy,Nominee,No,No,No
91,1992,Actor In A Leading Role,Robert De Niro,Cape Fear,Nominee,No,No,No
92,1992,Actor In A Leading Role,Anthony Hopkins,"Silence Of The Lambs, The",Winner,No,No,No
93,1992,Actor In A Leading Role,Nick Nolte,"Prince Of Tides, The",Nominee,No,No,No
94,1992,Actor In A Leading Role,Robin Williams,"Fisher King, The",Nominee,No,No,No
95,1992,Actor In A Supporting Role,Tommy Lee Jones,Jfk,Nominee,No,No,No
96,1992,Actor In A Supporting Role,Harvey Keitel,Bugsy,Nominee,No,No,No
97,1992,Actor In A Supporting Role,Ben Kingsley,Bugsy,Nominee,No,No,No
98,1992,Actor In A Supporting Role,Michael Lerner,Barton Fink,Nominee,No,No,No
99,1992,Actor In A Supporting Role,Jack Palance,City Slickers,Winner,No,No,No
100,1992,Actress In A Leading Role,Geena Davis,Thelma & Louise,Nominee,No,No,No
101,1992,Actress In A Leading Role,Laura Dern,Rambling Rose,Nominee,No,No,No
102,1992,Actress In A Leading Role,Jodie Foster,"Silence Of The Lambs, The",Winner,No,No,No
103,1992,Actress In A Leading Role,Bette Midler,For The Boys,Nominee,No,No,No
104,1992,Actress In A Leading Role,Susan Sarandon,Thelma & Louise,Nominee,No,No,No
105,1992,Actress In A Supporting Role,Diane Ladd,Rambling Rose,Nominee,No,No,No
106,1992,Actress In A Supporting Role,Juliette Lewis,Cape Fear,Nominee,No,No,No
107,1992,Actress In A Supporting Role,Kate Nelligan,"Prince Of Tides, The",Nominee,No,No,No
108,1992,Actress In A Supporting Role,Mercedes Ruehl,"Fisher King, The",Winner,No,No,No
